Nama,Komentar,Waktu,Likes,Reply Count
@abigaillimuria,Thank you Malaka!,2024-08-02T10:44:02Z,380,21.0
@ItadoriYuji-oj8mq,Terimakasih sdh menginspirasi. Semangat terus. ❤,2024-08-02T11:52:10Z,2,
@MrSiwhat,"mantab kkakk, saya suka kk pas acting di queen of tears",2024-08-02T11:55:53Z,6,
@Soemarwan_,❤,2024-08-03T13:02:31Z,0,
@Antisocialmedia-vo4zd,"Teruslah menyuarakan kebenaran,kak Abigail. God bless u",2024-08-04T04:03:05Z,1,
@AldinoBayu,Joki anak SD itu mungkin kalau anaknya bilang ke ortunya kalau besok ada tugas suruh bawa bonsai padahal udah jam 11:59 kak. 😢,2024-08-04T09:54:38Z,0,
@hemasavicenna5037,"kirain yori, suaranya sama",2024-08-04T15:30:06Z,0,
@quickcinema8031,sama sama bi,2024-08-05T12:31:26Z,0,
@Antisocialmedia-vo4zd,@@quickcinema8031 bi bi aje lu wkwk,2024-08-05T14:47:09Z,1,
@quickcinema8031,@@Antisocialmedia-vo4zd suka suka gw lah,2024-08-06T06:06:43Z,0,
@bayuandika9385,Makasih Kim ji won ❤,2024-08-07T03:01:40Z,0,
@rmdssp841,"Joki uangnya halal haram ?  Legal atau ilegal. 

Udah joki coba bilang ke KAPORODI pak buk saya joki, berani ?!! 

Ijazah tamat hasil joki dibawa kerja duitnya haram ?

Konsultan dosen pembimbing ke 2 atau ke 3, diluar kampus, seperti bimbel, les. Tapi, ini tepi jurang.",2024-08-08T12:15:00Z,0,
@ahmadluthfiehakim7024,Baiklah orang pintar yang benar kompeten bicara bukan cuma orang yang suka sok pintar.... Sehingga senggol kanan kiri....,2024-08-08T22:03:11Z,0,
@arisfauzi6265,Yah....,2024-08-09T17:32:42Z,0,
@headscout,Terima kasih Kak sudah menyuarakan yang benar,2024-08-10T10:29:51Z,0,
@gwexfarming,"FYI , joki sudah lama melembutkan kata dengan ""kolaborasi"" 😂",2024-08-10T16:09:32Z,0,
@harunaarul7403,"Thx lohhh.... 
Nextnya adalah........... 

Faktor X ( orang dalam)",2024-08-10T21:03:13Z,0,
@harunaarul7403,"Nextnya discuss faktor x ""orang dalam""",2024-08-10T21:03:52Z,0,
@AkalBudi5513,cantik cerdas,2024-08-12T03:03:36Z,0,
@fastinnatel6814,Kaka idolaaa🎉,2024-08-17T16:01:39Z,0,
@amalitasofiasalsabila5414,Mbak Abigail makasih ya udah membongkar penyelewengan akademik ini🙏🏻,2024-08-19T00:51:12Z,0,
@giofandisamin7362,Apa beda joki dan orang dalam?😊 Pliss dijawab😊,2024-08-29T15:11:06Z,0,
@commanderfuture_2979,"Terimakasih kak, di sekolah ku banyak yg orang ga paham apa apa nilai report bagus dapat eligible 10 besar gegara ikut ikut temen yg ambis yg ikut ga sendiri minimal 10 itu tiap nugas dan ujian hampir sama. Dan guru ngurutin rangking nya gegara mereka satu cyrcle padahal pas ujian dan tanya jawab mereka banyak yg ga paham. Kebanyakan yg paham di rangking 7 ketas yg nilai nya ga sebagus mereka di lapor. Apalagi mereka sampai di akhir semester seburuk apa ujian mereka tetap bagus karena mind set nya guru mereka yg bagus dari semester 1 karena terik tadi mereka akan di tetap bagus nilainya bakal bagus buat 10 besar itu sampai akhir semester. Sementara yg lebih paham materi sama lebih tinggi kadang ujiannya tetap di letakkan sekitar rangking mereka dari semester 1 sebelumnya",2024-08-31T19:51:35Z,0,0.0
@fauzifadhillah3222,SDM kita serendah ini kah?,2024-08-31T03:13:52Z,0,0.0
@poppinlovae,"As someone who studies abroad, this gave me a look into the academic world in Indonesia. Jujur banyak kagetnya, banyak worrynya, tapi cukup yakin masih banyak anak muda yang punya hati buat dunia pendidikan Indonesia. Suka banget podcastnya. Thanks for the insight Ci Abigail, Ko Dea, Ko Jerome. God bless always",2024-08-30T18:18:16Z,0,0.0
@riyandhikahendiputra9268,SDM bobrok karena sistem yang bobrok karena dibuat oleh SDM yang bobrok. Namun  kita bisa menjadi SDM yang baik untuk mengubah sistem dan memperbanyak SDM yang baik bahkan yang lebih baik.,2024-08-30T08:05:27Z,1,0.0
@farracherningrum8147,DUH MAKASIH YA UDAH BAHAS PER-JOKI-AN INI KARENA UDAH GERAH BANGET LINGKUNGAN TERDEKAT GUE MENORMALISASI JOKI BAHKAN MENJADIKAN JOKI SEBAGAI OPSI PERTAMA KHUSUSNYA UNTUK KULIAH 🤌🏼,2024-08-30T05:13:18Z,0,0.0
@singangangkrik7342,KALO JOKI MOBELEJEN GIMANA KA?,2024-08-30T03:18:22Z,0,0.0
@giofandisamin7362,"Ngomong emang gampang. Karna penonton lebih paham dari pemain.  Dan pemain yg hebat di hasilkan dari proses.
Btw kalian bertiga pernah ga teman dengan  kualitas bagus tapi kalah sama orang yg punya suara dan kekuasaan?",2024-08-29T16:06:46Z,0,0.0
